Gene,Si,Koni,Koffi,SKoffi,Exi
PF3D7-1463700,0.001105,148.81332,77.712142,1.5e-05,0.000725
PF3D7-1463800,0.0022,142.745156,81.948346,2.7e-05,0.001386
PF3D7-1463900,0.006119,1.043482,2.317765,0.002643,0.0019
PF3D7-1464000,0.00077,106.31501,54.405608,1.5e-05,0.000511
PF3D7-1464100,0.000541,191.596731,116.60835,5e-06,0.000335
PF3D7-1464200,0.001299,147.718589,102.732172,1.3e-05,0.000768
PF3D7-1464300,0.000587,132.902406,74.872881,8e-06,0.000375
PF3D7-1464400,0.00104,127.862243,61.809199,1.7e-05,0.000697
PF3D7-1464500,0.001065,2.961439,4.057951,0.000263,0.000449
PF3D7-1464600,0.00167,1.921959,3.981258,0.00042,0.000544
PF3D7-1464700,0.000807,159.571254,59.241213,1.4e-05,0.000582
PF3D7-1464800,0.006952,130.039552,186.216117,3.8e-05,0.002863
PF3D7-1464900,0.000741,81.232744,49.503934,1.5e-05,0.000457
PF3D7-1465000,0.001172,179.810842,79.939211,1.5e-05,0.000807
PF3D7-1465100,0.001153,81.779545,92.187032,1.3e-05,0.000542
PF3D7-1465200,0.000847,107.141243,69.403172,1.2e-05,0.000513
PF3D7-1465300,0.000377,188.937434,51.780518,8e-06,0.000294
PF3D7-1465400,0.001135,144.161362,90.631561,1.3e-05,0.000696
PF3D7-1465500,0.000553,135.539298,170.610229,3e-06,0.000243
PF3D7-1465600,0.001042,165.590413,73.711852,1.4e-05,0.000715
PF3D7-1465700,0.001214,165.508088,59.479491,2.1e-05,0.00089
PF3D7-1465800,0.000124,150.841024,163.172164,1e-06,5.9e-05
PF3D7-1465900,0.001786,164.746391,112.395181,1.6e-05,0.001063
PF3D7-1466000,0.001545,129.409078,52.131789,3e-05,0.0011
PF3D7-1466100,0.000626,145.333456,126.808606,5e-06,0.000333
PF3D7-1466200,0.000192,94.067809,40.578485,5e-06,0.000131
PF3D7-1466300,0.001963,5.406057,6.717713,0.000294,0.000876
PF3D7-1466400,0.000327,151.238727,59.850254,6e-06,0.000233
PF3D7-1466500,0.001788,189.469405,137.633729,1.3e-05,0.001038
PF3D7-1466600,0.00164,179.019845,60.146059,2.8e-05,0.001228
PF3D7-1466700,0.001263,156.306813,61.668542,2.1e-05,0.000903
PF3D7-1466800,0.000347,251.62104,79.434577,4e-06,0.000263
PF3D7-1466900,0.000737,64.4613,60.834157,1.3e-05,0.000374
PF3D7-1467000,0.000668,113.001836,78.643581,9e-06,0.000393
PF3D7-1467100,0.000534,136.289144,125.450435,4e-06,0.000272
PF3D7-1467200,0.000833,173.169166,88.285773,9e-06,0.000544
