Gene,Si,Koni,Koffi,SKoffi,Exi
PF3D7-1414400,0.000582,163.160431,78.0515,8e-06,0.000383
PF3D7-1414500,0.000353,33.884845,33.827379,1.1e-05,0.000172
PF3D7-1414600,0.001032,163.611978,66.407126,1.6e-05,0.000723
PF3D7-1414700,0.001091,9.039134,10.773127,0.000105,0.000498
PF3D7-1414800,0.001075,132.594151,66.597068,1.6e-05,0.000699
PF3D7-1414900,0.00044,113.167173,55.426505,8e-06,0.000296
PF3D7-1415000,0.001122,262.517697,59.977544,1.9e-05,0.000896
PF3D7-1415100,0.000889,171.724609,206.60883,4e-06,0.000399
PF3D7-1415200,0.001524,95.554069,59.291083,2.7e-05,0.000934
PF3D7-1415300,0.000518,154.701491,67.94386,8e-06,0.000359
PF3D7-1415400,0.000333,224.089008,154.053083,2e-06,0.000195
PF3D7-1415500,0.000353,102.629397,48.872924,8e-06,0.000238
PF3D7-1415600,0.000411,127.586357,93.863383,4e-06,0.000237
PF3D7-1415700,0.000798,117.562795,137.238452,6e-06,0.000366
PF3D7-1415800,0.000843,169.01205,85.402108,1e-05,0.000549
PF3D7-1415900,0.001379,143.76779,70.74077,2e-05,0.000925
PF3D7-1416000,0.002091,174.285651,60.281621,3.5e-05,0.00155
PF3D7-1416100,0.001006,130.928609,159.899851,6e-06,0.000445
PF3D7-1416200,0.000171,157.106671,72.960686,2e-06,0.000117
PF3D7-1416300,0.00065,189.62585,55.337597,1.3e-05,0.000502
PF3D7-1416400,0.000762,232.032217,69.001564,1.1e-05,0.000585
PF3D7-1416500,0.005706,1.760016,3.006692,0.001906,0.002106
PF3D7-1416600,0.000236,134.989051,182.098162,1e-06,0.0001
PF3D7-1416700,0.001486,196.149584,104.161814,1.4e-05,0.00096
PF3D7-1416800,0.000866,99.26786,119.666728,7e-06,0.000387
PF3D7-1416900,0.00153,114.469549,67.201214,2.5e-05,0.00097
PF3D7-1417000,0.001143,333.155245,85.99133,1.4e-05,0.000891
