Gene,Si,Koni,Koffi,SKoffi,Exi
PF3D7-0109700,0.002569,159.068691,111.003298,2.4e-05,0.001505
PF3D7-0109800,0.001286,148.413457,55.459902,2.4e-05,0.000936
PF3D7-0109850,0.002476,13.060082,15.087682,0.000166,0.001149
PF3D7-0109950,0.002718,122.643635,89.812886,3.1e-05,0.001565
PF3D7-0110000,0.001241,138.01676,57.800565,2.2e-05,0.00087
PF3D7-0110100,0.000656,146.725926,73.663687,9e-06,0.000435
PF3D7-0110200,0.001444,186.963336,70.953457,2e-05,0.001036
PF3D7-0110300,0.005906,134.600142,75.532515,8.1e-05,0.003772
PF3D7-0110400,0.002243,213.327471,97.780043,2.3e-05,0.001525
PF3D7-0110500,0.000937,29.212596,34.742154,2.8e-05,0.000428
PF3D7-0110600,0.001166,18.481825,20.407878,5.8e-05,0.000554
PF3D7-0110700,0.001684,14.077661,16.216882,0.000106,0.000783
PF3D7-0110800,0.000906,129.249229,51.488626,1.8e-05,0.000637
PF3D7-0110900,0.001597,121.002425,52.963919,3e-05,0.001107
PF3D7-0111000,0.00039,91.487839,69.147598,6e-06,0.000222
PF3D7-0111200,0.003582,157.916775,96.995776,3.8e-05,0.002216
PF3D7-0111300,0.00092,55.855017,52.918915,1.8e-05,0.000471
PF3D7-0111400,0.001721,64.824191,78.15782,2.2e-05,0.00078
PF3D7-0111500,0.001943,118.869451,107.885796,1.8e-05,0.001015
PF3D7-0111600,0.001782,150.513536,91.342947,2.1e-05,0.001112
PF3D7-0111700,0.001602,165.504541,82.242443,2e-05,0.001074
PF3D7-0111800,0.000802,107.41568,90.144827,9e-06,0.000436
PF3D7-0111900,0.006625,138.824878,97.28016,6.9e-05,0.003895
PF3D7-0112000,0.002053,128.534766,94.528526,2.2e-05,0.001181
PF3D7-0112100,0.004766,138.738521,173.379262,2.8e-05,0.002117
PF3D7-0112200,0.00142,6.126874,7.29215,0.000195,0.000649
PF3D7-0112700,0.000443,133.658433,93.740893,5e-06,0.000259
PF3D7-0112800,0.000795,165.639078,57.073282,1.4e-05,0.000591
PF3D7-0112900,0.000508,140.094918,139.76045,4e-06,0.000255
PF3D7-0113000,0.055499,0.695543,9.513841,0.00584,0.003783
PF3D7-0113100,0.000339,141.813325,87.046144,4e-06,0.000208
PF3D7-0113200,0.002169,43.929335,47.989021,4.6e-05,0.001038
PF3D7-0113300,0.00056,119.05751,53.643286,1e-05,0.000385
PF3D7-0113400,0.000733,177.679429,60.116527,1.2e-05,0.000542
PF3D7-0113700,0.000707,143.287394,96.151631,7e-06,0.000423
PF3D7-0113800,0.000201,73.960504,41.935579,5e-06,0.000128
PF3D7-0113900,0.001391,142.379784,81.028836,1.7e-05,0.000886
PF3D7-0114000,0.000287,167.184612,69.937035,4e-06,0.000202
PF3D7-0114100,0.001866,27.805434,30.313205,6.3e-05,0.000892
PF3D7-0114200,0.001848,175.60268,149.941391,1.3e-05,0.001
PF3D7-0114500,0.002624,18.342189,22.28249,0.000119,0.001185
PF3D7-0114700,0.001738,147.226092,92.638012,1.9e-05,0.001067
PF3D7-0114800,0.002568,176.273007,98.142637,2.7e-05,0.001649
PF3D7-0115000,0.000343,104.144319,91.305277,4e-06,0.000182
PF3D7-0115100,0.001799,171.000229,88.917108,2e-05,0.001178
PF3D7-0115200,0.001205,347.558897,94.61112,1.3e-05,0.000937
PF3D7-0115400,0.001735,174.40669,88.673962,2e-05,0.001147
PF3D7-0115600,0.00164,168.900942,132.647461,1.2e-05,0.000916
PF3D7-0115700,0.000295,123.093942,101.777008,3e-06,0.000161
PF3D7-0200100,0.000327,142.493392,71.650717,5e-06,0.000215
PF3D7-0200200,0.001735,125.424348,82.777131,2.1e-05,0.001042
PF3D7-0200300,0.00117,145.293276,70.324084,1.7e-05,0.000784
PF3D7-0200400,0.001456,197.21698,54.136367,2.7e-05,0.001133
PF3D7-0200500,0.001441,178.165036,95.577155,1.6e-05,0.000932
PF3D7-0200600,0.001524,132.943889,87.318098,1.8e-05,0.000919
PF3D7-0200700,0.001967,133.565008,115.518151,1.7e-05,0.001051
PF3D7-0201000,0.001734,179.462185,103.978848,1.8e-05,0.001105
PF3D7-0201200,0.001399,184.907897,81.358129,1.7e-05,0.000969
PF3D7-0201300,0.001805,174.937642,103.534718,1.8e-05,0.001129
PF3D7-0201400,0.003209,128.384913,57.220464,5.6e-05,0.002207
PF3D7-0201500,0.000701,89.548224,93.809723,8e-06,0.000341
PF3D7-0201600,0.001406,17.372404,20.794217,6.8e-05,0.00064
PF3D7-0201700,0.000404,137.002366,48.918371,8e-06,0.000296
PF3D7-0201800,0.000988,167.390975,117.191404,9e-06,0.000575
PF3D7-0201900,0.00068,6.432085,9.05803,7.5e-05,0.000282
PF3D7-0202000,0.030603,1.467266,16.453899,0.001862,0.002507
PF3D7-0202100,0.000562,149.402198,73.123354,8e-06,0.000378
PF3D7-0202200,0.000554,135.252056,67.448624,8e-06,0.000369
PF3D7-0202300,0.001595,165.70443,95.629711,1.7e-05,0.001009
PF3D7-0202400,0.000721,29.559442,32.657801,2.3e-05,0.000342
PF3D7-0202500,0.003505,5.784083,7.505852,0.000469,0.001526
PF3D7-0202600.1,0.000348,156.72279,94.946939,4e-06,0.000218
PF3D7-0202600.2,0.000382,209.422934,95.484054,4e-06,0.000259
PF3D7-0202700,0.000881,192.982409,89.350834,1e-05,0.000602
PF3D7-0202800,0.000555,182.418354,111.638273,5e-06,0.000345
PF3D7-0202900,0.001721,131.733416,74.581016,2.3e-05,0.001096
PF3D7-0203000,0.000403,92.219687,46.423953,9e-06,0.000267
PF3D7-0203100,0.000278,156.490967,132.019125,2e-06,0.000151
PF3D7-0203200,0.001388,126.583549,105.130216,1.3e-05,0.000756
PF3D7-0203300,0.002237,151.435442,84.079501,2.7e-05,0.001433
PF3D7-0203400,0.002034,98.064293,77.499354,2.6e-05,0.001131
PF3D7-0203600,0.000654,214.318852,72.783266,9e-06,0.000486
PF3D7-0203700,0.001239,98.041206,41.067729,3e-05,0.000871
PF3D7-0203800,0.000941,150.605364,115.456774,8e-06,0.000532
PF3D7-0203900,0.001346,104.169246,73.720379,1.9e-05,0.000789
PF3D7-0204000,0.000725,129.059923,78.166666,9e-06,0.000451
PF3D7-0204100,0.001126,3.414745,4.840012,0.000233,0.000466
